Date,EUR,USD,CNY,JPY,HKD,AUD,CAD,CHF,SGD,INR,ILS,CZK,DKK,HUF,MYR,NZD,NOK,PLN,SAR,ZAR,SEK,TWD,THB,TRY,KRW
2014-06-05,1.2333,1.6792,10.5031,172.0508,13.0183,1.804,1.8396,1.5031,2.1103,99.5094,5.8251,33.8652,9.2032,375.0604,5.4213,1.9844,10.0833,5.1028,6.2982,18.0301,11.2247,50.46,54.8343,3.5339,1712.7
2014-06-06,1.2309,1.679,10.4934,172.1982,13.0168,1.7992,1.8355,1.5005,2.1016,99.3548,5.8093,33.7966,9.1853,372.482,5.3946,1.9751,9.9989,5.0403,6.2974,17.7328,11.1281,50.375,54.5339,3.4898,1712.4961
2014-06-09,1.2356,1.6794,10.479,172.2393,13.0182,1.7979,1.8316,1.5073,2.0994,99.4289,5.8084,33.9191,9.2195,375.641,5.3699,1.9786,10.0273,5.0704,6.2988,17.866,11.2172,50.4005,54.5049,3.5041,1706.2704
2014-06-10,1.2374,1.6761,10.432,171.64940000000001,12.9925,1.7903,1.8296,1.5078,2.0946,99.2838,5.8035,33.9613,9.233,377.3421,5.3761,1.9696,10.0149,5.0865,6.2864,17.9809,11.2271,50.2646,54.423,3.4913,1704.9289
2014-06-11,1.2405,1.6788,10.4551,171.0865,13.0136,1.7879,1.8254,1.5099,2.0985,99.6116,5.8043,34.0462,9.2557,379.0419,5.3915,1.9637,10.0687,5.1029,6.2967,18.079,11.2367,50.3783,54.5358,3.5372,1705.325
2014-06-12,1.2429,1.6842,10.4715,171.4684,13.0551,1.7869,1.8277,1.5133,2.1032,99.6878,5.8236,34.0767,9.2719,380.4147,5.4029,1.9399,10.0895,5.1109,6.3168,17.9957,11.2664,50.4889,54.6354,3.5503,1714.0103
2014-06-13,1.2537,1.6961,10.5311,173.1379,13.1468,1.8055,1.8437,1.527,2.1203,101.1808,5.8566,34.4022,9.3508,384.6282,5.4586,1.9599,10.174,5.1649,6.3614,18.2416,11.2747,50.9093,54.9197,3.6017,1726.7146
2014-06-16,1.2515,1.6986,10.5738,173.0704,13.1669,1.8076,1.8432,1.5242,2.1239,102.0774,5.8705,34.3437,9.3318,385.1512,5.478,1.9574,10.1679,5.1848,6.3709,18.243,11.2523,50.9784,54.9922,3.6401,1732.4871
2014-06-17,1.2529,1.6969,10.5654,173.3723,13.1539,1.8174,1.8427,1.5269,2.1277,102.1703,5.8713,34.3715,9.3418,385.6739,5.4666,1.9611,10.1813,5.1887,6.3646,18.3817,11.269,50.9969,55.1153,3.6483,1735.4196
2014-06-18,1.2481,1.6939,10.5545,173.0149,13.1299,1.8138,1.8419,1.5201,2.1203,102.1422,5.8502,34.3061,9.306,383.062,5.4772,1.9535,10.2131,5.1663,6.3535,18.1777,11.2831,50.8263,55.0009,3.6292,1731.5893
2014-06-19,1.2511,1.7055,10.623,173.637,13.2183,1.8128,1.8476,1.5208,2.1307,102.4238,5.8667,34.3364,9.3286,381.6607,5.4798,1.9556,10.4547,5.1771,6.3972,18.1815,11.4044,51.165,55.3946,3.6327,1737.5122
2014-06-20,1.2535,1.7018,10.592,173.8389,13.1913,1.8139,1.8333,1.526,2.1288,102.4909,5.8653,34.4045,9.3459,384.1335,5.4858,1.9592,10.4486,5.2272,6.3833,18.2293,11.4701,51.0923,55.2404,3.6516,1737.8952
2014-06-23,1.2513,1.7008,10.5875,173.2945,13.1832,1.8049,1.8261,1.5224,2.1238,102.3541,5.8528,34.3714,9.3289,382.0543,5.4723,1.9518,10.4058,5.2049,6.3794,18.0545,11.4024,51.0138,55.1995,3.6341,1732.2648
2014-06-24,1.2482,1.6971,10.5743,173.3418,13.1554,1.8093,1.8229,1.5194,2.1198,102.106,5.8328,34.2441,9.3053,381.5105,5.4536,1.9543,10.3863,5.1828,6.3653,17.9142,11.4251,50.8214,55.037,3.6197,1728.4115
